City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Butaritari,32,KI,1579611058,64,3.07,172.79,84.79,2.46
Smithers,90,CA,1579611059,92,54.78,-127.17,19.4,4.7
Severo-Kuril'sk,100,RU,1579611060,90,50.68,156.12,13.84,7.85
Chokurdakh,100,RU,1579611061,97,70.63,147.92,-24.09,8.79
Upernavik,100,GL,1579611062,57,72.79,-56.15,4.51,6.62
Busselton,25,AU,1579611063,36,-33.65,115.33,64.0,17.38
Albany,1,US,1579611064,84,42.6,-73.97,14.0,8.05
Dingalan,66,PH,1579611066,82,15.39,121.39,70.05,11.25
Bluff,100,NZ,1579611067,94,-46.6,168.33,57.99,0.85
Barrow,1,US,1579611068,76,71.29,-156.79,-11.2,12.75
Rikitea,94,PF,1579611069,79,-23.12,-134.97,77.47,10.98
Mataura,97,NZ,1579611070,94,-46.19,168.86,57.99,0.65
Norman Wells,5,CA,1579611071,75,65.28,-126.83,-18.4,3.36
Tasiilaq,90,GL,1579611073,37,65.61,-37.64,21.2,5.82
Yar-Sale,100,RU,1579611074,95,66.83,70.83,-6.52,13.24
College,90,US,1579611075,76,64.86,-147.8,-11.0,1.81
Abadan,90,TM,1579611076,86,38.05,58.21,33.8,4.7
Ribeira Grande,75,PT,1579611077,72,38.52,-28.7,60.8,11.41
Flinders,2,AU,1579611078,94,-34.58,150.86,71.01,1.12
Carnarvon,0,AU,1579611079,73,-24.87,113.63,77.0,26.4
Grand Gaube,75,MU,1579611080,83,-20.01,57.66,82.4,8.05
Mananara,100,MG,1579611082,79,-16.17,49.77,81.43,4.65
Kedrovyy,40,RU,1579611083,65,56.17,91.82,5.0,11.18
Hong Kong,20,HK,1579610857,77,22.29,114.16,66.2,14.99
Kahului,40,US,1579611085,100,20.89,-156.47,64.99,11.41
Gladstone,40,AU,1579611086,74,-23.85,151.25,84.2,2.24
Sibolga,64,ID,1579611087,94,1.74,98.78,75.9,1.36
Rio Gallegos,100,AR,1579611088,58,-51.62,-69.22,59.0,12.75
Kananga,100,CD,1579611090,65,-5.9,22.42,84.56,4.27
Puerto Ayora,90,EC,1579611091,74,-0.74,-90.35,78.8,4.7
La Asuncion,84,VE,1579611092,84,11.03,-63.86,75.96,9.37
Port Elizabeth,90,ZA,1579611093,100,-33.92,25.57,66.2,14.99
Acarau,59,BR,1579611094,76,-2.89,-40.12,82.49,5.3
Vao,11,NC,1579611095,64,-22.67,167.48,76.66,12.44
Meulaboh,83,ID,1579611097,74,4.14,96.13,84.09,9.6
Ushuaia,75,AR,1579611098,87,-54.8,-68.3,53.6,23.04
Mumford,80,GH,1579611099,31,5.26,-0.76,97.14,3.11
The Valley,20,AI,1579611100,69,18.22,-63.06,77.0,10.29
Nikolskoye,40,RU,1579611101,75,59.7,30.79,42.8,20.13
Bambous Virieux,75,MU,1579611102,83,-20.34,57.76,82.4,8.05
Coquimbo,90,CL,1579610862,93,-29.95,-71.34,60.8,4.7
Avarua,100,CK,1579611105,94,-21.21,-159.78,78.8,9.17
Cape Town,20,ZA,1579611010,47,-33.93,18.42,81.0,10.29
Shymkent,90,KZ,1579611107,86,42.3,69.6,33.8,4.47
Willowmore,99,ZA,1579611108,68,-33.29,23.49,66.6,10.63
Bethel,1,US,1579611109,84,41.37,-73.41,21.99,3.11
Ilulissat,75,GL,1579611110,52,69.22,-51.1,15.8,29.97
Saint-Philippe,100,RE,1579611112,88,-21.36,55.77,82.4,14.99
Lagoa,98,PT,1579611113,71,39.05,-27.98,59.92,20.49
Tiksi,30,RU,1579611114,86,71.69,128.87,-23.85,2.57
Vaini,20,TO,1579611115,94,-21.2,-175.2,73.4,7.67
Kapaa,40,US,1579611116,78,22.08,-159.32,73.4,12.75
Tartagal,100,AR,1579611117,62,-22.52,-63.8,87.8,2.62
Minab,40,IR,1579611118,40,27.15,57.08,73.4,6.93
Saint George,90,US,1579610991,86,37.1,-113.58,46.0,8.05
Port Hardy,75,CA,1579611121,93,50.7,-127.42,44.6,23.04
Oistins,40,BB,1579611122,74,13.07,-59.53,78.8,20.8
Aleksandrovsk,94,RU,1579611123,81,59.16,57.56,19.0,4.0
Tokur,100,RU,1579611124,99,53.13,132.9,-14.6,1.7
Atuona,59,PF,1579611125,78,-9.8,-139.03,80.11,14.94
Mahabalipuram,20,IN,1579611126,65,12.63,80.17,81.0,9.17
Jamestown,90,US,1579611128,58,42.1,-79.24,28.4,11.41
Yashkul,99,RU,1579611117,66,46.17,45.34,33.42,14.63
Sola,40,VU,1579611130,94,-13.88,167.55,78.8,13.56
Kalevala,73,RU,1579611131,86,65.2,31.17,31.1,18.72
Catuday,62,PH,1579611132,71,16.29,119.81,79.92,12.5
Codrington,11,AU,1579611133,72,-38.27,141.97,59.7,10.09
Tuktoyaktuk,54,CA,1579611134,83,69.45,-133.04,-16.44,5.61
Kloulklubed,75,PW,1579611135,83,7.04,134.26,77.0,3.36
Hithadhoo,53,MV,1579611137,77,-0.6,73.08,84.2,14.34
San Jeronimo,100,PE,1579611138,84,-11.95,-75.28,42.76,0.38
Bushehr,0,IR,1579611139,52,28.97,50.84,68.0,6.93
Faanui,74,PF,1579611140,73,-16.48,-151.75,81.37,7.47
Huron,90,US,1579611141,67,41.15,-82.55,25.0,6.93
Tilichiki,0,RU,1579611142,93,60.47,166.1,-19.77,6.04
Baijiantan,47,CN,1579611144,89,45.63,85.18,9.37,3.74
Rahatgarh,95,IN,1579611145,58,23.78,78.37,70.72,2.53
Fallon,90,US,1579610944,74,39.47,-118.78,41.0,3.36
Atar,0,MR,1579611147,15,20.52,-13.05,69.8,11.41
Qaanaaq,0,GL,1579611148,56,77.48,-69.36,-15.77,6.67
Yangi Marg`ilon,100,UZ,1579611149,74,40.43,71.72,35.6,2.59
Bull Savanna,100,JM,1579611150,87,17.89,-77.59,65.89,3.6
